fp,n=2g=5000p=0,0.0153934
fp,n=2g=5000p=0.05,0.0265575
fp,n=2g=5000p=0.1,0.0270443
fp,n=2g=5000p=0.15,0.0263918
fp,n=2g=5000p=0.2,0.0270878
fp,n=2g=5000p=0.25,0.0270218
fp,n=2g=5000p=0.3,0.0272329
fp,n=3g=5000p=0,0.0148329
fp,n=3g=5000p=0.05,0.043409
fp,n=3g=5000p=0.1,0.0444653
fp,n=3g=5000p=0.15,0.044121
fp,n=3g=5000p=0.2,0.0450355
fp,n=3g=5000p=0.25,0.0457257
fp,n=3g=5000p=0.3,0.0458958
fp,n=4g=5000p=0,0.015286
fp,n=4g=5000p=0.05,0.0776568
fp,n=4g=5000p=0.1,0.0800511
fp,n=4g=5000p=0.15,0.0798078
fp,n=4g=5000p=0.2,0.0813887
fp,n=4g=5000p=0.25,0.083406
fp,n=4g=5000p=0.3,0.083567
fp,n=5g=5000p=0,0.0149547
fp,n=5g=5000p=0.05,0.147742
fp,n=5g=5000p=0.1,0.153411
fp,n=5g=5000p=0.15,0.15364
fp,n=5g=5000p=0.2,0.159789
fp,n=5g=5000p=0.25,0.160049
fp,n=5g=5000p=0.3,0.161314
fp,n=6g=5000p=0,0.0151486
fp,n=6g=5000p=0.05,0.293308
fp,n=6g=5000p=0.1,0.302002
fp,n=6g=5000p=0.15,0.308943
fp,n=6g=5000p=0.2,0.311216
fp,n=6g=5000p=0.25,0.315989
fp,n=6g=5000p=0.3,0.323723
fp,n=7g=5000p=0,0.0149575
fp,n=7g=5000p=0.05,0.588419
fp,n=7g=5000p=0.1,0.606599
fp,n=7g=5000p=0.15,0.621154
fp,n=7g=5000p=0.2,0.632518
fp,n=7g=5000p=0.25,0.647774
fp,n=7g=5000p=0.3,0.651477
fp,n=8g=5000p=0,0.0147657
fp,n=8g=5000p=0.05,1.21094
fp,n=8g=5000p=0.1,1.24465
fp,n=8g=5000p=0.15,1.2853
fp,n=8g=5000p=0.2,1.31756
fp,n=8g=5000p=0.25,1.33359
fp,n=8g=5000p=0.3,1.3684
fp,n=9g=5000p=0,0.014982
fp,n=9g=5000p=0.05,2.50371
fp,n=9g=5000p=0.1,2.5796
fp,n=9g=5000p=0.15,2.66597
fp,n=9g=5000p=0.2,2.71745
fp,n=9g=5000p=0.25,2.78175
fp,n=9g=5000p=0.3,2.85443
fp,n=10g=5000p=0,0.0153632
fp,n=10g=5000p=0.05,5.19129
fp,n=10g=5000p=0.1,5.37177
fp,n=10g=5000p=0.15,5.58214
fp,n=10g=5000p=0.2,5.65644
fp,n=10g=5000p=0.25,5.87769
fp,n=10g=5000p=0.3,5.95212
fp,n=11g=5000p=0,0.014997
fp,n=11g=5000p=0.05,10.7899
fp,n=11g=5000p=0.1,11.3366
fp,n=11g=5000p=0.15,11.7535
fp,n=11g=5000p=0.2,12.0513
fp,n=11g=5000p=0.25,12.32
fp,n=11g=5000p=0.3,12.4779
fp,n=12g=5000p=0,0.0153273
fp,n=12g=5000p=0.05,22.7172
fp,n=12g=5000p=0.1,23.6029
fp,n=12g=5000p=0.15,24.2259
fp,n=12g=5000p=0.2,25.1113
fp,n=12g=5000p=0.25,25.6937
fp,n=12g=5000p=0.3,26.1691
chp,n=2g=5000p=0,0.000223
chp,n=2g=5000p=0.05,0.000237
chp,n=2g=5000p=0.1,0.000253
chp,n=2g=5000p=0.15,0.000248
chp,n=2g=5000p=0.2,0.000255
chp,n=2g=5000p=0.25,0.000251
chp,n=2g=5000p=0.3,0.000244
chp,n=3g=5000p=0,0.000268
chp,n=3g=5000p=0.05,0.000269
chp,n=3g=5000p=0.1,0.000273
chp,n=3g=5000p=0.15,0.000273
chp,n=3g=5000p=0.2,0.000287
chp,n=3g=5000p=0.25,0.000290
chp,n=3g=5000p=0.3,0.000294
chp,n=4g=5000p=0,0.000317
chp,n=4g=5000p=0.05,0.000331
chp,n=4g=5000p=0.1,0.000348
chp,n=4g=5000p=0.15,0.000339
chp,n=4g=5000p=0.2,0.000348
chp,n=4g=5000p=0.25,0.000339
chp,n=4g=5000p=0.3,0.000353
chp,n=5g=5000p=0,0.000370
chp,n=5g=5000p=0.05,0.000386
chp,n=5g=5000p=0.1,0.000411
